id,pour_date,cure_date,name,
1,2022-07-14,2022-08-04,the first batch,
3,2022-07-30,2022-09-10,candle science sampler,
4,2022-07-31,2022-09-11,essential oil sampler,
5,2022-08-14,2022-09-25,pumpkin spice,
6,2022-08-25,2022-11-04,pumpkin spice 2 /apples & maple bourbon,
8,2022-09-29,2022-11-08,lemon poppyseed 20,
9,2022-10-01,2022-11-09,autumn leaves / apple & maple bourbon,
10,2022-10-02,2022-11-10,pumpkin spice 3,
11,2022-10-06,2022-11-14,black coral & moss / black cardamom & cream / oakmoss & amber,
12,2022-10-08,2022-11-16,pumpkin spice 4,
13,2022-10-08,2022-11-16,black coral & moss 2 / black cardamom & cream 2 / oakmoss & amber 2,
14,2022-10-10,2022-11-18,spiced christmas cookie,
15,2022-10-23,2022-12-04,coffee,
16,2022-10-25,2022-12-06,lavender,
17,2022-11-11,2022-12-22,spruce,
18,2022-11-13,2022-12-24,vanilla,
